KOI =KEPLER OBJECT OF INTEREST,,,,
Exoplanet Archive Information,koi_disposition,,,
Project Disposition Columns,koi_fpflag_nt,Not Transit-Like Flag,"A KOI whose light curve is not consistent with that of a transiting planet. This includes, but is not limited to, instrumental artifacts, non-eclipsing variable stars, and spurious (very low SNR) detections.",
Project Disposition Columns,koi_fpflag_ss,"	Stellar Eclipse Flag","A KOI that is observed to have a significant secondary event, transit shape, or out-of-eclipse variability, which indicates that the transit-like event is most likely caused by an eclipsing binary. However, self-luminous, hot Jupiters with a visible secondary eclipse will also have this flag set, but with a disposition of PC.",
Project Disposition Columns,koi_fpflag_co,Centroid Offset Flag,"The source of the signal is from a nearby star, as inferred by measuring the centroid location of the image both in and out of transit, or by the strength of the transit signal in the target's outer (halo) pixels as compared to the transit signal from the pixels in the optimal (or core) aperture.",
Project Disposition Columns,koi_fpflag_ec,Ephemeris Match Indicates Contamination Flag,The KOI shares the same period and epoch as another object and is judged to be the result of flux contamination in the aperture or electronic crosstalk.,
Transit Properties,koi_period,Orbital Period (days),The interval between consecutive planetary transits.,
Transit Properties,koi_period_err1,"	Uncertainties Column
(positive +)
(negative -)","	Uncertainties Column
(positive +)
(negative -)",
Transit Properties,koi_period_err2,"	Uncertainties Column
(positive +)
(negative -)","	Uncertainties Column
(positive +)
(negative -)",
Transit Properties,koi_time0bk,"Transit Epoch (BJD - 2,454,833.0)","The time corresponding to the center of the first detected transit in Barycentric Julian Day (BJD) minus a constant offset of 2,454,833.0 days. The offset corresponds to 12:00 on Jan 1, 2009 UTC.",
Transit Properties,koi_time0bk_err1,"	Uncertainties Column
(positive +)
(negative -)","	Uncertainties Column
(positive +)
(negative -)",
Transit Properties,koi_time0bk_err2,"	Uncertainties Column
(positive +)
(negative -)","	Uncertainties Column
(positive +)
(negative -)",
Transit Properties,koi_impact,Impact Parameter,"The sky-projected distance between the center of the stellar disc and the center of the planet disc at conjunction, normalized by the stellar radius.",
Transit Properties,koi_impact_err1,"	Uncertainties Column
(positive +)
(negative -)","	Uncertainties Column
(positive +)
(negative -)",
Transit Properties,koi_impact_err2,"	Uncertainties Column
(positive +)
(negative -)","	Uncertainties Column
(positive +)
(negative -)",
Transit Properties,koi_duration,Transit Duration (hours),"The duration of the observed transits. Duration is measured from first contact between the planet and star until last contact. Contact times are typically computed from a best-fit model produced by a Mandel-Agol (2002) model fit to a multi-quarter Kepler light curve, assuming a linear orbital ephemeris.",
Transit Properties,koi_duration_err1,"	Uncertainties Column
(positive +)
(negative -)","	Uncertainties Column
(positive +)
(negative -)",
Transit Properties,koi_duration_err2,"	Uncertainties Column
(positive +)
(negative -)","	Uncertainties Column
(positive +)
(negative -)",
Transit Properties,koi_depth,Transit Depth (parts per million),"The fraction of stellar flux lost at the minimum of the planetary transit. Transit depths are typically computed from a best-fit model produced by a Mandel-Agol (2002) model fit to a multi-quarter Kepler light curve, assuming a linear orbital ephemeris",
Transit Properties,koi_depth_err1,"	Uncertainties Column
(positive +)
(negative -)","	Uncertainties Column
(positive +)
(negative -)",
Transit Properties,koi_depth_err2,"	Uncertainties Column
(positive +)
(negative -)","	Uncertainties Column
(positive +)
(negative -)",
